frame.time_utc,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.protocols,frame.time_delta,frame.time_relative,frame.time_delta_displayed,frame.len,eth.src.oui,eth.dst.oui,tcp.len,tcp.ack,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,label
"Dec 22, 2023 03:10:18.376769000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp,0.000592,6.594651,0.000592,64,84,7080836,0,193,0,0.001613,1
"Dec 22, 2023 03:10:18.380428000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.003659,6.59831,0.003659,87,5797493,7080836,33,133,33,0.004251,1
"Dec 22, 2023 03:10:18.381184000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000756,6.599066,0.000756,66,7080836,5797493,12,249,12,0.000756,1
"Dec 22, 2023 03:10:18.381491000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.000307,6.599373,0.000307,65,84,7080836,11,193,11,0,1
"Dec 22, 2023 03:10:18.382136000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000645,6.600018,0.000645,66,7080836,84,12,332,12,0.000645,1
"Dec 22, 2023 03:10:18.385155000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.003019,6.603037,0.003019,64,5797493,7080836,10,145,10,0.003971,1
"Dec 22, 2023 03:10:18.393661000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.008506,6.611543,0.008506,90,84,7080836,36,205,36,0.011525,1
"Dec 22, 2023 03:10:18.394172000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000511,6.612054,0.000511,66,7080836,84,12,368,12,0.000511,1
"Dec 22, 2023 03:10:18.398798000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.004626,6.61668,0.004626,71,84,7080836,17,217,17,0.004626,1
"Dec 22, 2023 03:10:18.590020000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp,0.191222,6.807902,0.191222,54,7080836,5797493,0,259,0,0.204865,1
"Dec 22, 2023 03:10:18.595012000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp,0.004992,6.812894,0.004992,54,7080836,84,0,385,0,0.196214,1
"Dec 22, 2023 03:10:18.842366000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.129262,7.060248,0.129262,85,7080836,6939,31,345,31,0,1
"Dec 22, 2023 03:10:18.890642000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp,0.048276,7.108524,0.048276,60,6939,7080836,0,280,0,0.048276,1
"Dec 22, 2023 03:10:19.171843000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.281201,7.389725,0.281201,133,6939,7080836,79,280,79,0,1
"Dec 22, 2023 03:10:19.172076000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.000233,7.389958,0.000233,85,7080836,6939,31,424,31,0.000233,1
"Dec 22, 2023 03:10:19.471147000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp,0.049114,7.689029,0.049114,85,7080836,6939,31,424,31,0,1
"Dec 22, 2023 03:10:19.525468000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp,0.051396,7.74335,0.051396,60,6939,7080836,0,311,0,0.353392,1
"Dec 22, 2023 03:10:19.559236000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.033768,7.777118,0.033768,66,7080836,84,12,385,12,0,1
"Dec 22, 2023 03:10:19.560243000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp,0.001007,7.778125,0.001007,64,84,7080836,0,229,0,0.001007,1
"Dec 22, 2023 03:10:19.561242000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000999,7.779124,0.000999,66,7080836,5797493,12,259,12,0,1
"Dec 22, 2023 03:10:19.564129000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.002887,7.782011,0.002887,65,84,7080836,11,229,11,0,1
"Dec 22, 2023 03:10:19.565192000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.001063,7.783074,0.001063,66,7080836,84,12,396,12,0.001063,1
"Dec 22, 2023 03:10:19.565850000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.000658,7.783732,0.000658,87,5797493,7080836,33,157,33,0.004608,1
"Dec 22, 2023 03:10:19.566214000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000364,7.784096,0.000364,66,7080836,5797493,12,292,12,0.000364,1
"Dec 22, 2023 03:10:19.569920000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.003706,7.787802,0.003706,64,5797493,7080836,10,169,10,0.003706,1
"Dec 22, 2023 03:10:19.571305000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.001385,7.789187,0.001385,90,84,7080836,36,241,36,0.006113,1
"Dec 22, 2023 03:10:19.572245000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.00094,7.790127,0.00094,66,7080836,84,12,432,12,0.00094,1
"Dec 22, 2023 03:10:19.585500000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.013255,7.803382,0.013255,71,84,7080836,17,253,17,0.013255,1
"Dec 22, 2023 03:10:19.771079000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp,0.144922,7.988961,0.144922,54,7080836,5797493,0,302,0,0.201159,1
"Dec 22, 2023 03:10:19.789105000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp,0.018026,8.006987,0.018026,54,7080836,84,0,449,0,0.203605,1
